Facility_ID,Facility_Type,Location_Name,Operator,Latitude,Longitude,Status
EN-TX-001,Refinery,Baytown Complex A,Gulf Coast Energy,29.7355,-95.0111,Active
EN-TX-002,Refinery,Baytown Complex B,Gulf Coast Energy,29.7380,-95.0150,Active
EN-TX-003,Refinery,Pasadena Refining,Gulf Coast Energy,29.7022,-95.1936,Maintenance
EN-TX-004,Storage Terminal,Deer Park Storage 1,Coastal Storage,29.7150,-95.1200,Active
EN-TX-005,Storage Terminal,Deer Park Storage 2,Coastal Storage,29.7165,-95.1225,Active
EN-TX-006,Refinery,Texas City Hub 1,Gulf Coast Energy,29.3780,-94.9280,Active
EN-TX-007,Refinery,Texas City Hub 2,Gulf Coast Energy,29.3801,-94.9305,Active
EN-TX-008,Storage Terminal,Galveston Port Tanks,Coastal Storage,29.3100,-94.7900,Active
EN-TX-009,Compressor Station,Houston Ship Channel,Tejas Pipeline Co,29.7285,-95.2611,Active
EN-TX-010,Pump Station,La Porte Pipeline,Permian Logistics,29.6655,-95.0199,Active
EN-TX-011,Storage Terminal,Beaumont Reserve A,Coastal Storage,30.0802,-94.1266,Active
EN-TX-012,Storage Terminal,Beaumont Reserve B,Coastal Storage,30.0820,-94.1290,Active
EN-TX-013,Pump Station,Port Arthur Hub,Permian Logistics,29.8900,-93.9400,Maintenance
EN-TX-014,Refinery,Port Arthur Refining,Gulf Coast Energy,29.8850,-93.9450,Active
EN-TX-015,Compressor Station,Orange Station,Tejas Pipeline Co,30.1000,-93.7500,Active
EN-TX-016,Well Pad,Permian Pad 01,South Texas Drillers,31.9973,-102.0779,Active
EN-TX-017,Well Pad,Permian Pad 02,South Texas Drillers,31.9985,-102.0800,Active
EN-TX-018,Well Pad,Permian Pad 03,South Texas Drillers,32.0010,-102.0825,Active
EN-TX-019,Well Pad,Permian Pad 04,South Texas Drillers,32.0050,-102.0850,Active
EN-TX-020,Well Pad,Permian Pad 05,South Texas Drillers,32.0100,-102.0900,Maintenance
EN-TX-021,Pump Station,Midland Hub A,Permian Logistics,32.0005,-102.0750,Active
EN-TX-022,Pump Station,Midland Hub B,Permian Logistics,32.0020,-102.0720,Active
EN-TX-023,Compressor Station,Odessa Gas Plant,Tejas Pipeline Co,31.8500,-102.3600,Active
EN-TX-024,Well Pad,Permian Pad 06,South Texas Drillers,31.8550,-102.3650,Active
EN-TX-025,Well Pad,Permian Pad 07,South Texas Drillers,31.8600,-102.3700,Active
EN-TX-026,Well Pad,Permian Pad 08,South Texas Drillers,31.8650,-102.3750,Active
EN-TX-027,Well Pad,Permian Pad 09,South Texas Drillers,31.8700,-102.3800,Active
EN-TX-028,Well Pad,Permian Pad 10,South Texas Drillers,31.8750,-102.3850,Inactive
EN-TX-029,Storage Terminal,Pecos Tanks,Coastal Storage,31.4200,-103.4900,Active
EN-TX-030,Pump Station,Pecos Pipeline,Permian Logistics,31.4250,-103.4950,Active
EN-TX-031,Well Pad,Eagle Ford Pad 01,South Texas Drillers,28.4333,-98.0500,Active
EN-TX-032,Well Pad,Eagle Ford Pad 02,South Texas Drillers,28.4350,-98.0550,Active
EN-TX-033,Well Pad,Eagle Ford Pad 03,South Texas Drillers,28.4400,-98.0600,Active
EN-TX-034,Well Pad,Eagle Ford Pad 04,South Texas Drillers,28.4450,-98.0650,Active
EN-TX-035,Well Pad,Eagle Ford Pad 05,South Texas Drillers,28.4500,-98.0700,Maintenance
EN-TX-036,Pump Station,Kenedy Hub,Permian Logistics,28.8100,-97.8400,Active
EN-TX-037,Compressor Station,Kenedy Gas Plant,Tejas Pipeline Co,28.8150,-97.8450,Active
EN-TX-038,Well Pad,Eagle Ford Pad 06,South Texas Drillers,28.8200,-97.8500,Active
EN-TX-039,Well Pad,Eagle Ford Pad 07,South Texas Drillers,28.8250,-97.8550,Active
EN-TX-040,Well Pad,Eagle Ford Pad 08,South Texas Drillers,28.8300,-97.8600,Active
EN-TX-041,Well Pad,Eagle Ford Pad 09,South Texas Drillers,28.8350,-97.8650,Active
EN-TX-042,Well Pad,Eagle Ford Pad 10,South Texas Drillers,28.8400,-97.8700,Inactive
EN-TX-043,Storage Terminal,Corpus Christi Tanks A,Coastal Storage,27.8000,-97.3900,Active
EN-TX-044,Storage Terminal,Corpus Christi Tanks B,Coastal Storage,27.8050,-97.3950,Active
EN-TX-045,Refinery,Corpus Christi Refining,Gulf Coast Energy,27.8100,-97.4000,Active
EN-TX-046,Pump Station,Ingleside Hub,Permian Logistics,27.8700,-97.2100,Active
EN-TX-047,Compressor Station,Katy Gas Plant A,Tejas Pipeline Co,29.7858,-95.8244,Maintenance
EN-TX-048,Compressor Station,Katy Gas Plant B,Tejas Pipeline Co,29.7880,-95.8280,Active
EN-TX-049,Pump Station,Cypress Pipeline,Permian Logistics,29.9700,-95.6900,Active
EN-TX-050,Storage Terminal,Tomball Tanks,Coastal Storage,30.0900,-95.6100,Active
EN-TX-051,Well Pad,Barnett Pad 01,South Texas Drillers,33.2100,-97.1300,Active
EN-TX-052,Well Pad,Barnett Pad 02,South Texas Drillers,33.2150,-97.1350,Active
EN-TX-053,Well Pad,Barnett Pad 03,South Texas Drillers,33.2200,-97.1400,Active
